Price,Age,KM,FuelType,HP,MetColor,Automatic,CC,Doors,Weight,Mileage
13500,23,46986,Diesel,90,1,0,2000,3,1165,29195.737806
13750,23,72937,Diesel,90,1,0,2000,3,1165,45320.936627
13950,24,41711,Diesel,90,1,0,2000,3,1165,25918.005781
14950,26,48000,Diesel,90,0,0,2000,3,1165,29825.808
13750,30,38500,Diesel,90,0,0,2000,3,1170,23922.7835
12950,32,61000,Diesel,90,0,0,2000,3,1170,37903.631
16900,27,94612,Diesel,90,1,0,2000,3,1245,58789.153052
18600,30,75889,Diesel,90,1,0,2000,3,1245,47155.223819
21500,27,19700,Petrol,192,0,0,1800,3,1185,12241.0087
12950,23,71138,Diesel,69,0,0,1900,3,1105,44203.090198
20950,25,31461,Petrol,192,0,0,1800,3,1185,19548.953031
19950,22,43610,Petrol,192,0,0,1800,3,1185,27097.98931
19600,25,32189,Petrol,192,0,0,1800,3,1185,20001.311119
21500,31,23000,Petrol,192,1,0,1800,3,1185,14291.533
22500,32,34131,Petrol,192,1,0,1800,3,1185,21208.013601
22000,28,18739,Petrol,192,0,0,1800,3,1185,11643.871169
22750,30,34000,Petrol,192,1,0,1800,3,1185,21126.614
17950,24,21716,Petrol,110,1,0,1600,3,1105,13493.692636
16750,24,25563,Petrol,110,0,0,1600,3,1065,15884.106873
16950,30,64359,Petrol,110,1,0,1600,3,1105,39990.816189
15950,30,67660,Petrol,110,1,0,1600,3,1105,42041.96186
16950,29,43905,Petrol,110,0,1,1600,3,1170,27281.293755
15950,28,56349,Petrol,110,1,0,1600,3,1120,35013.634479
16950,28,32220,Petrol,110,1,0,1600,3,1120,20020.57362
16250,29,25813,Petrol,110,1,0,1600,3,1120,16039.449623
15950,25,28450,Petrol,110,1,0,1600,3,1120,17678.00495
17495,27,34545,Petrol,110,1,0,1600,3,1120,21465.261195
15750,29,41415,Petrol,110,1,0,1600,3,1120,25734.079965
16950,28,44142,Petrol,110,0,0,1600,3,1120,27428.558682
17950,30,11090,Petrol,110,1,0,1600,3,1120,6891.00439
12950,29,9750,Petrol,97,1,0,1400,3,1100,6058.36725
15750,22,35199,Petrol,97,1,0,1400,3,1100,21871.637829
15950,27,29510,Petrol,97,1,0,1400,3,1100,18336.65821
14950,26,32692,Petrol,97,1,0,1400,3,1100,20313.860732
15500,22,41000,Petrol,97,1,0,1400,3,1100,25476.211
15750,26,43000,Petrol,97,0,0,1400,3,1100,26718.953
15950,25,25000,Petrol,97,0,0,1400,3,1100,15534.275
14950,23,10000,Petrol,97,1,0,1400,3,1100,6213.71
15750,32,25329,Petrol,97,1,0,1400,3,1100,15738.706059
14750,27,27500,Petrol,97,0,0,1400,3,1100,17087.7025
13950,22,49059,Petrol,97,0,0,1400,3,1100,30483.839889
16750,27,44068,Petrol,97,1,0,1400,3,1100,27382.577228000002
13950,22,46961,Petrol,97,0,0,1400,3,1100,29180.203531
16950,27,110404,Diesel,90,0,0,2000,5,1255,68601.843884
16950,22,100250,Diesel,90,0,0,2000,5,1255,62292.44275
19000,23,84000,Diesel,90,0,0,2000,5,1270,52195.164
17950,27,79375,Diesel,90,1,0,2000,5,1255,49321.323125
15800,22,75048,Petrol,97,1,0,1400,5,1110,46632.650808
17950,22,72215,Diesel,90,1,0,2000,5,1255,44872.306765
21950,31,64982,Petrol,192,1,0,1800,5,1195,40377.930322
17950,22,62636,Diesel,90,1,0,2000,5,1255,38920.193956
15750,30,57086,Petrol,97,1,0,1400,5,1110,35471.584906000004
20500,26,56000,Petrol,110,1,1,1600,5,1180,34796.776
21950,27,49866,Petrol,192,1,0,1800,5,1195,30985.286286
15500,25,49163,Petrol,110,0,1,1600,5,1165,30548.462473
13250,32,45725,Petrol,110,1,0,1600,5,1075,28412.188975
15250,28,43210,Petrol,97,0,0,1400,5,1110,26849.44091
