Price,Age,KM,FuelType,HP,MetColor,Automatic,CC,Doors,Weight,Mileage
13500,23,46986,Diesel,90,1,0,2000,3,1165,29196
13750,23,72937,Diesel,90,1,0,2000,3,1165,45321
13950,24,41711,Diesel,90,1,0,2000,3,1165,25918
14950,26,48000,Diesel,90,0,0,2000,3,1165,29826
13750,30,38500,Diesel,90,0,0,2000,3,1170,23923
12950,32,61000,Diesel,90,0,0,2000,3,1170,37904
16900,27,94612,Diesel,90,1,0,2000,3,1245,58789
18600,30,75889,Diesel,90,1,0,2000,3,1245,47155
21500,27,19700,Petrol,192,0,0,1800,3,1185,12241
12950,23,71138,Diesel,69,0,0,1900,3,1105,44203
20950,25,31461,Petrol,192,0,0,1800,3,1185,19549
19950,22,43610,Petrol,192,0,0,1800,3,1185,27098
19600,25,32189,Petrol,192,0,0,1800,3,1185,20001
21500,31,23000,Petrol,192,1,0,1800,3,1185,14292
22500,32,34131,Petrol,192,1,0,1800,3,1185,21208
22000,28,18739,Petrol,192,0,0,1800,3,1185,11644
22750,30,34000,Petrol,192,1,0,1800,3,1185,21127
17950,24,21716,Petrol,110,1,0,1600,3,1105,13494
16750,24,25563,Petrol,110,0,0,1600,3,1065,15884
16950,30,64359,Petrol,110,1,0,1600,3,1105,39991
15950,30,67660,Petrol,110,1,0,1600,3,1105,42042
16950,29,43905,Petrol,110,0,1,1600,3,1170,27281
15950,28,56349,Petrol,110,1,0,1600,3,1120,35014
16950,28,32220,Petrol,110,1,0,1600,3,1120,20021
16250,29,25813,Petrol,110,1,0,1600,3,1120,16039
15950,25,28450,Petrol,110,1,0,1600,3,1120,17678
17495,27,34545,Petrol,110,1,0,1600,3,1120,21465
15750,29,41415,Petrol,110,1,0,1600,3,1120,25734
16950,28,44142,Petrol,110,0,0,1600,3,1120,27429
17950,30,11090,Petrol,110,1,0,1600,3,1120,6891
12950,29,9750,Petrol,97,1,0,1400,3,1100,6058
15750,22,35199,Petrol,97,1,0,1400,3,1100,21872
15950,27,29510,Petrol,97,1,0,1400,3,1100,18337
14950,26,32692,Petrol,97,1,0,1400,3,1100,20314
15500,22,41000,Petrol,97,1,0,1400,3,1100,25476
15750,26,43000,Petrol,97,0,0,1400,3,1100,26719
15950,25,25000,Petrol,97,0,0,1400,3,1100,15534
14950,23,10000,Petrol,97,1,0,1400,3,1100,6214
15750,32,25329,Petrol,97,1,0,1400,3,1100,15739
14750,27,27500,Petrol,97,0,0,1400,3,1100,17088
13950,22,49059,Petrol,97,0,0,1400,3,1100,30484
16750,27,44068,Petrol,97,1,0,1400,3,1100,27383
13950,22,46961,Petrol,97,0,0,1400,3,1100,29180
16950,27,110404,Diesel,90,0,0,2000,5,1255,68602
16950,22,100250,Diesel,90,0,0,2000,5,1255,62292
19000,23,84000,Diesel,90,0,0,2000,5,1270,52195
17950,27,79375,Diesel,90,1,0,2000,5,1255,49321
15800,22,75048,Petrol,97,1,0,1400,5,1110,46633
17950,22,72215,Diesel,90,1,0,2000,5,1255,44872
21950,31,64982,Petrol,192,1,0,1800,5,1195,40378
17950,22,62636,Diesel,90,1,0,2000,5,1255,38920
15750,30,57086,Petrol,97,1,0,1400,5,1110,35472
20500,26,56000,Petrol,110,1,1,1600,5,1180,34797
21950,27,49866,Petrol,192,1,0,1800,5,1195,30985
15500,25,49163,Petrol,110,0,1,1600,5,1165,30548
13250,32,45725,Petrol,110,1,0,1600,5,1075,28412
15250,28,43210,Petrol,97,0,0,1400,5,1110,26849
15250,26,43000,Petrol,97,0,0,1400,5,1110,26719
18950,23,39704,Petrol,110,1,1,1600,5,1180,24671
15999,30,38950,Petrol,110,1,0,1600,5,1130,24202
14950,22,37400,Petrol,97,1,0,1400,5,1110,23239
16500,27,37177,Petrol,110,0,0,1600,5,1130,23101
18750,31,36544,Petrol,110,1,0,1600,5,1130,22707
17950,30,33511,Petrol,110,1,0,1600,5,1130,20823
17950,27,32809,Petrol,97,1,0,1400,5,1110,20387
16950,26,32181,Petrol,110,1,0,1600,5,1075,19996
18950,28,30993,Petrol,110,1,0,1600,5,1130,19258
14950,22,30400,Petrol,97,1,0,1400,5,1110,18890
22250,22,30000,Diesel,110,1,0,2000,5,1275,18641
15950,25,29719,Petrol,97,1,0,1400,5,1110,18467
15950,28,29206,Petrol,97,1,0,1400,5,1110,18148
12995,32,29198,Petrol,97,1,0,1400,5,1060,18143
18950,28,28817,Petrol,110,1,0,1598,5,1130,17906
15750,23,28227,Petrol,97,1,0,1400,5,1110,17539
19950,28,28000,Petrol,110,0,0,1600,5,1130,17398
16950,23,28000,Petrol,110,1,0,1600,5,1115,17398
18750,31,25266,Petrol,110,1,0,1600,5,1130,15700
18450,27,23489,Petrol,110,0,0,1600,5,1115,14595
16895,29,22575,Petrol,110,1,0,1600,5,1115,14027
14900,30,22000,Petrol,97,1,0,1400,5,1110,13670
18950,25,20019,Petrol,110,1,1,1600,5,1180,12439
17250,29,20000,Petrol,110,1,0,1600,5,1115,12427
15450,25,17003,Petrol,97,1,0,1400,5,1110,10565
17950,31,16238,Petrol,110,1,1,1600,5,1180,10090
16650,25,15414,Petrol,97,1,0,1400,5,1110,9578
17450,28,8537,Petrol,110,1,0,1600,5,1130,5305
14900,30,7000,Petrol,97,1,0,1400,5,1100,4350
17950,20,66966,Diesel,90,1,0,2000,3,1245,41611
15950,19,51884,Petrol,97,1,0,1400,3,1100,32239
21950,19,50005,Diesel,110,1,0,2000,3,1265,31072
16450,20,48110,Petrol,97,1,0,1400,3,1100,29894
22250,20,37500,Diesel,90,1,0,2000,3,1260,23301
19950,16,34472,Diesel,90,1,0,1995,3,1260,21420
15950,20,33329,Petrol,97,1,0,1400,3,1100,20710
18900,20,31850,Petrol,110,0,0,1600,3,1120,19791
19950,17,30351,Diesel,90,1,0,1995,3,1260,18859
15950,19,29435,Petrol,97,1,0,1400,3,1100,18290
15950,19,25948,Petrol,97,1,0,1400,3,1100,16123
18750,11,24500,Petrol,110,1,0,1600,3,1120,15224
17450,18,23902,Petrol,97,1,0,1400,3,1100,14852
18990,20,23175,Petrol,110,1,0,1600,3,1120,14400
16250,19,19200,Petrol,97,1,0,1400,3,1100,11930
18500,13,18000,Petrol,71,0,0,1400,3,1125,11185
18500,11,16123,Petrol,110,1,0,1600,3,1105,10018
19450,11,14635,Petrol,110,1,1,1600,3,1155,9094
16950,19,13748,Petrol,97,1,0,1400,3,1100,8543
18800,14,11500,Petrol,110,1,0,1600,3,1045,7146
17450,17,10000,Petrol,97,1,0,1400,3,1100,6214
17950,20,7187,Petrol,110,1,0,1600,3,1105,4466
32500,4,1,Diesel,116,0,0,2000,5,1480,1
31000,4,4000,Diesel,116,1,0,2000,5,1480,2485
31275,4,1500,Diesel,116,1,0,2000,5,1480,932
24950,8,13253,Diesel,116,1,0,2000,5,1320,8235
